truck_name,operator_username,phone,city,category,promo_message,logo,createdAt,updatedAt
A Gyro's Hero,Mobile Grill Inc,6781100011,Atlanta,Gyros,Free hummas with purchas of large gyro,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/Gyro_Hero_zarurr.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Big Patty's Burgers,J&J Food,7061110011,Athens,Burgers,Come try our big bacon Patty,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/BigPatty_eviwna.png,2020-12-18 10:30:16,2020-12-18 10:30:16
FroYo on the GoYo,Howard Foods,4040101110,Druid Hills,dessert,10% off on any day over 90 degrees,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/FroYo_on_the_GoYo_wpbs5z.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Green Delivery,Hip Food Corp,6781001000,Atlanta,Vegan Grill,Cheakpea salad made freash daily,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/Green_Delivery_l4hhzc.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Jimbo's BBQ,Jimbo Catering,4040000111,East Point,BBQ,Best Smoked Chicken in Town,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/JimbosBBQ_eghmps.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Kevin's Chilli dogs,Howard Foods,4040011110,Druid Hills,Hot Dogs  & Sausages,3 types of chilli to choose from,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/Kevins_exwjyx.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Lets Be Frank,J&J Food,6781100100,Atlanta,Hot Dogs  & Sausages,Just good hot dogs,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/Lets_Be_Frank_qdkoua.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Lucky Traveler Chophouse,Mobile Grill Inc,6780100100,Decatur,Burgers,Mention Chasers for a free fry,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/Lucky_Traveler_Chophouse_pc2gil.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Mad Forest Tastes,J&J Food,4040111101,Druid Hills,Fusion,You ready to try something different today?,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/MadForest_rbpxvj.png,2020-12-18 10:30:16,2020-12-18 10:30:16
New Age Spice Tacos,Hip Food Corp,4040010101,Druid Hills,Tacos,Tacos that bring the heat,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/NewAgeSpiceTacos_vxuwbh.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Saucy Sails Provisions,Big City Food Trucks,6780111101,Atlanta,Tacos,Free small queso with purchase of 4 tacos,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271576/Food%20Truck%20Chasers/Saucy_Sails_Provisions_nvz3g6.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Southern Sweet BBQ,Big City Food Trucks,6780100110,Decatur,BBQ,Rib dinner with coleslaw for $12,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271577/Food%20Truck%20Chasers/Sweet_Southern_BBQ_kwt8hx.png,2020-12-18 10:30:16,2020-12-18 10:30:16
Stuffed and Grilled,J&J Food,4040111011,Druid Hills,Hot Dogs  & Sausages,Try our homeade potate rolls with your next sausage,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271577/Food%20Truck%20Chasers/Stuffed_and_Grilled_r2xzoi.png,2020-12-18 10:30:16,2020-12-18 10:30:16
The Thyme Truck,Big City Food Trucks,6780011110,Atlanta,Vegan Grill,New Carrot Dogs 2 for $4,https://res.cloudinary.com/dwc5cle4q/image/upload/v1608271577/Food%20Truck%20Chasers/The_Thyme_Truck_lsvwqu.png,2020-12-18 10:30:16,2020-12-18 10:30:16
